CarKey, Car Make , Car Model   , Year , Body Type , Color Options                 , Fuel Type , Safety Features                                      , Entertainment Features               , Interior Features                                , Exterior Features                                           
2022ToyotaCamry,Toyota,Camry,2022, Sedan     ," White, Silver, Black          ", Gasoline  ," ABS, Airbags, Lane-Keeping Assist, Blind Spot Monitor ", 8-inch Touchscreen Infotainment System ," Leather Seats, Power Driver's Seat, Dual-Zone Climate Control "," LED Headlights, Alloy Wheels, Sunroof                       "
2023FordF-150,Ford,F-150,2023, Truck     ," Blue, Red, Gray               ", Gasoline  ," ABS, Airbags, Trailer Sway Control, Rear View Camera  ", 12-inch SYNC 4 Infotainment System   ," Cloth Seats, Power Windows, Keyless Entry                 "," LED Taillights, Tow Hitch, Bed Liner                        "
2023HondaCivic,Honda,Civic,2023, Sedan     ," Black, Blue, Silver           ", Gasoline  ," ABS, Airbags, Lane Departure Warning, Rear Cross Traffic Alert ", 7-inch Display Audio System       ," Cloth Seats, Bluetooth Connectivity, Push Button Start   "," LED Daytime Running Lights, Alloy Wheels                   "
2023ChevroletTahoe,Chevrolet,Tahoe,2023, SUV       ," Red, White, Gray              ", Gasoline  ," ABS, Airbags, Forward Collision Warning, Lane Keep Assist ", 10.2-inch Infotainment System      ," Leather Seats, Heated Front Seats, Third-Row Seating     "," LED Headlights, Roof Rails, Power Liftgate                 "
2023NissanRogue,Nissan,Rogue,2023, SUV       ," Green, Black, White           ", Gasoline  ," ABS, Airbags, Blind Spot Warning, Rear Cross Traffic Alert ", 8-inch Touchscreen Display        ," Cloth Seats, Power Mirrors, Dual-Zone Climate Control     "," LED Taillights, Roof Rails, Power Liftgate                 "
2022BMWX5,BMW,X5,2022, SUV       ," Black, Gray, Blue             ", Gasoline  ," ABS, Airbags, Lane Departure Warning, Parking Assist     ", 12.3-inch Digital Instrument Cluster ," Leather Seats, Heated Front Seats, Panoramic Sunroof      "," LED Headlights, Roof Rails, 20-inch Alloy Wheels          "
2023HyundaiSonata,Hyundai,Sonata,2023, Sedan     ," Red, Silver, White            ", Gasoline  ," ABS, Airbags, Forward Collision Warning, Lane Keeping Assist ", 10.25-inch Touchscreen Display    ," Leather Seats, Power Driver's Seat, Push Button Start     "," LED Daytime Running Lights, Alloy Wheels                   "
2023FordMustang,Ford,Mustang,2023, Coupe     ," Yellow, Black, Red            ", Gasoline  ," ABS, Airbags, Traction Control, Electronic Stability Control ", 12-inch SYNC 4 Infotainment System  ," Leather Seats, Power Driver's Seat, Ambient Lighting        "," LED Headlights, Rear Spoiler, Dual Exhaust                 "
2023ToyotaRAV4,Toyota,RAV4,2023, SUV       ," Blue, Silver, Green           ", Gasoline  ," ABS, Airbags, Lane Tracing Assist, Blind Spot Monitoring  ", 7-inch Touchscreen Display        ," Cloth Seats, Keyless Entry, Dual-Zone Climate Control     "," LED Daytime Running Lights, Roof Rails                   "
2023AudiA4,Audi,A4,2023, Sedan     ," White, Gray, Black            ", Gasoline  ," ABS, Airbags, Lane Departure Warning, Adaptive Cruise Control ", 10.1-inch MMI Touchscreen Display  ," Leather Seats, Heated Front Seats, Tri-Zone Climate Control "," LED Headlights, Sunroof, 18-inch Alloy Wheels              "
